170424 15:38:32 INFO | Use default config for monkey test--[monkey_server.py:19]
170424 15:38:33 INFO | start server--[monkey_server.py:39]
170424 15:38:40 DEBUG | get the device info: {'Coolpad8675-FHD': 'a82ef248'}--[base.py:64]
170424 15:38:40 DEBUG | current device dict: {'Coolpad8675-FHD': 'a82ef248'}--[device_monitor.py:27]
170424 15:38:40 DEBUG | Config.device_dict is {}--[device_monitor.py:28]
170424 15:38:40 DEBUG | new device dict is: {'Coolpad8675-FHD': 'a82ef248'}--[device_monitor.py:35]
170424 15:38:40 INFO | changed device: {'Coolpad8675-FHD': 'a82ef248'}--[monkey.py:189]
170424 15:38:45 DEBUG | get the device info: {'Coolpad8675-FHD': 'a82ef248'}--[base.py:64]
170424 15:38:45 DEBUG | current device dict: {'Coolpad8675-FHD': 'a82ef248'}--[device_monitor.py:27]
170424 15:38:45 DEBUG | Config.device_dict is {'Coolpad8675-FHD': 'a82ef248'}--[device_monitor.py:28]
170424 15:38:46 DEBUG | This system is Mac--[monkey_stop.py:60]
170424 15:38:46 INFO | no monkey running in Coolpad8675-FHD--[monkey_stop.py:31]
170424 15:38:46 INFO | start monkey with Coolpad8675-FHD--[monkey.py:101]
170424 15:38:46 INFO | Monkey cmd: /Users/Admin/Public/Android/sdk/platform-tools/adb -s a82ef248 shell monkey -s 281 -p com.ijuyin.prints.news -v  --throttle 500 --pct-trackball 0 --pct-syskeys 5 --pct-nav 0 --pct-anyevent 0 1000   > /Users/Admin/Desktop/monkey_android-master/performance/monkey/monkeylog/2017-04-24/Coolpad8675-FHD_04-24~15-38-46.txt--[monkey.py:108]
170424 15:38:50 DEBUG | get the device info: {'Coolpad8675-FHD': 'a82ef248'}--[base.py:64]
170424 15:38:50 DEBUG | current device dict: {'Coolpad8675-FHD': 'a82ef248'}--[device_monitor.py:27]
170424 15:38:50 DEBUG | Config.device_dict is {'Coolpad8675-FHD': 'a82ef248'}--[device_monitor.py:28]
170424 15:38:55 DEBUG | get the device info: {'Coolpad8675-FHD': 'a82ef248'}--[base.py:64]
170424 15:38:55 DEBUG | current device dict: {'Coolpad8675-FHD': 'a82ef248'}--[device_monitor.py:27]
170424 15:38:55 DEBUG | Config.device_dict is {'Coolpad8675-FHD': 'a82ef248'}--[device_monitor.py:28]
170424 15:39:00 DEBUG | get the device info: {'Coolpad8675-FHD': 'a82ef248'}--[base.py:64]
170424 15:39:00 DEBUG | current device dict: {'Coolpad8675-FHD': 'a82ef248'}--[device_monitor.py:27]
170424 15:39:00 DEBUG | Config.device_dict is {'Coolpad8675-FHD': 'a82ef248'}--[device_monitor.py:28]
170424 15:39:05 DEBUG | get the device info: {'Coolpad8675-FHD': 'a82ef248'}--[base.py:64]
170424 15:39:05 DEBUG | current device dict: {'Coolpad8675-FHD': 'a82ef248'}--[device_monitor.py:27]
170424 15:39:05 DEBUG | Config.device_dict is {'Coolpad8675-FHD': 'a82ef248'}--[device_monitor.py:28]
170424 15:39:10 DEBUG | get the device info: {'Coolpad8675-FHD': 'a82ef248'}--[base.py:64]
170424 15:39:10 DEBUG | current device dict: {'Coolpad8675-FHD': 'a82ef248'}--[device_monitor.py:27]
170424 15:39:10 DEBUG | Config.device_dict is {'Coolpad8675-FHD': 'a82ef248'}--[device_monitor.py:28]
170424 15:39:15 DEBUG | get the device info: {'Coolpad8675-FHD': 'a82ef248'}--[base.py:64]
170424 15:39:15 DEBUG | current device dict: {'Coolpad8675-FHD': 'a82ef248'}--[device_monitor.py:27]
170424 15:39:15 DEBUG | Config.device_dict is {'Coolpad8675-FHD': 'a82ef248'}--[device_monitor.py:28]
170424 15:39:20 DEBUG | get the device info: {'Coolpad8675-FHD': 'a82ef248'}--[base.py:64]
170424 15:39:20 DEBUG | current device dict: {'Coolpad8675-FHD': 'a82ef248'}--[device_monitor.py:27]
170424 15:39:20 DEBUG | Config.device_dict is {'Coolpad8675-FHD': 'a82ef248'}--[device_monitor.py:28]
170424 15:39:25 DEBUG | get the device info: {'Coolpad8675-FHD': 'a82ef248'}--[base.py:64]
170424 15:39:25 DEBUG | current device dict: {'Coolpad8675-FHD': 'a82ef248'}--[device_monitor.py:27]
170424 15:39:25 DEBUG | Config.device_dict is {'Coolpad8675-FHD': 'a82ef248'}--[device_monitor.py:28]
170424 15:39:30 DEBUG | get the device info: {'Coolpad8675-FHD': 'a82ef248'}--[base.py:64]
170424 15:39:30 DEBUG | current device dict: {'Coolpad8675-FHD': 'a82ef248'}--[device_monitor.py:27]
170424 15:39:30 DEBUG | Config.device_dict is {'Coolpad8675-FHD': 'a82ef248'}--[device_monitor.py:28]
170424 15:39:35 DEBUG | get the device info: {'Coolpad8675-FHD': 'a82ef248'}--[base.py:64]
170424 15:39:35 DEBUG | current device dict: {'Coolpad8675-FHD': 'a82ef248'}--[device_monitor.py:27]
170424 15:39:35 DEBUG | Config.device_dict is {'Coolpad8675-FHD': 'a82ef248'}--[device_monitor.py:28]
170424 15:39:40 DEBUG | get the device info: {'Coolpad8675-FHD': 'a82ef248'}--[base.py:64]
170424 15:39:40 DEBUG | current device dict: {'Coolpad8675-FHD': 'a82ef248'}--[device_monitor.py:27]
170424 15:39:40 DEBUG | Config.device_dict is {'Coolpad8675-FHD': 'a82ef248'}--[device_monitor.py:28]
170424 15:39:45 DEBUG | get the device info: {'Coolpad8675-FHD': 'a82ef248'}--[base.py:64]
